site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,fruit.collected,height,flower.dev,dev.seed,seed.weight,notes,,
Pfieler,control,south,Mertensia,9,M,open,7/1/19,7/18/19,52,,,7/18/19,,,15,20,56,0.07,,,
Pfieler,control,south,Mertensia,18,E,open,7/1/19,7/15/19,31,,,7/15/19,,,19.5,12,33,0.034,,,
Pfieler,control,south,Mertensia,9,C,open,7/1/19,7/18/19,26,,,7/18/19,,,12.1,3,9,0.005,,,
Pfieler,control,south,Mertensia,21,H,open,7/1/19,7/15/19,33,,,7/15/19,,,11.5,19,65,0.042,,,
Pfieler,control,south,Mertensia,25,E,open,7/1/19,7/18/19,40,,,7/18/19,,,18.2,9,34,0.02,,,
Pfieler,control,south,Mertensia,27,I,open,7/1/19,7/18/19,12,,,7/18/19,,,14.3,6,19,0.012,,,
Pfieler,control,south,Mertensia,28,P,open,7/1/19,7/11/19,27,,,7/15/19,,,13.8,6,17,0.011,,,
Pfieler,control,south,Mertensia,1,N,open-hand,6/27/19,7/11/19,21,,,7/15/19,,,11.2,4,12,0.01,,,
Pfieler,control,south,Mertensia,3,B,open-hand,6/27/19,7/15/19,35,,,7/15/19,,,10.8,15,38,0.04,,,
Pfieler,control,south,Mertensia,10,K,open-hand,6/27/19,7/18/19,74,,,7/18/19,,,17.8,33,93,0.077,,,
Pfieler,control,south,Mertensia,2,K,open-hand,6/27/19,7/11/19,30,,,7/15/19,,,12.6,3,8,0.006,,,
Pfieler,control,south,Mertensia,17,,open-hand,7/1/19,7/18/19,12,,,7/15/19,,,12.2,3,12,0.012,,,
Pfieler,control,south,Mertensia,18,,open-hand,7/1/19,7/11/19,10,,,7/15/19,,,7.5,5,16,0.01,,,
Pfieler,control,south,Mertensia,25,,open-hand,7/1/19,7/18/19,24,,,7/18/19,,,10.5,9,25,0.017,,,
Pfieler,control,south,Mertensia,28,,open-hand,7/1/19,7/15/19,29,,,,,,,11,35,0.027,,,
AveryPicnic,manip,north,Mertensia,5,B,open,6/19/19,7/10/19,20,,,7/12/19,,,10,4,14,0.014,,,
AveryPicnic,manip,north,Mertensia,13,H,open,6/19/19,7/2/19,,,,,,,,,,,,,
AveryPicnic,manip,north,Mertensia,15,L,open,6/19/19,,76,,,,,,21.4,25,65,0.047,,,
AveryPicnic,manip,north,Mertensia,22,B,open,6/19/19,7/2/19,19,,,7/12/19,,,14.2,11,26,0.021,,,
AveryPicnic,manip,north,Mertensia,25,D,open,6/19/19,7/5/19,,,,,,,,,,,,,
AveryPicnic,manip,north,Mertensia,29,O,open,6/19/19,7/16/19,54,,,7/16/19,,,15.9,14,29,0.013,,,
AveryPicnic,manip,north,Mertensia,14,K,open,6/19/19,7/2/19,46,,,7/12/19,,,15.6,17,42,0.039,,,
AveryPicnic,manip,north,Mertensia,4,M,open,6/19/19,7/5/19,,,,7/12/19,,,12.3,,,,,,
AveryPicnic,manip,north,Mertensia,3,E,open-hand,6/19/19,7/10/19,37,,,7/12/19,,,18.2,7,23,0.011,,,
AveryPicnic,manip,north,Mertensia,5,D,open-hand,6/19/19,7/5/19,39,,,7/12/19,,,,20,66,0.033,,,
AveryPicnic,manip,north,Mertensia,6,D,open-hand,6/21/19,7/2/19,13,,,7/12/19,,,19.1,0,0,NA,,,
AveryPicnic,manip,north,Mertensia,7,J,open-hand,6/19/19,7/5/19,20,,,7/12/19,,,16.5,34,33,0.027,,,
AveryPicnic,manip,north,Mertensia,13,E,open-hand,6/19/19,7/2/19,36,,,7/12/19,,,11.5,10,21,0.01,,,
AveryPicnic,manip,north,Mertensia,15,I,open-hand,6/19/19,7/5/19,20,,,7/12/19,,,15.7,6,15,0.013,,,
AveryPicnic,manip,north,Mertensia,23,N,open-hand,6/19/19,7/10/19,29,,,7/12/19,,,12.2,9,36,0.014,,,
AveryPicnic,manip,north,Mertensia,25,C,open-hand,6/19/19,7/2/19,23,,,7/12/19,,,18.2,10,33,0.029,,,
AveryPicnic,control,south,Mertensia,30,F,open,6/19/19,7/5/19,41,,,7/12/19,,,23.5,12,30,0.033,,,
AveryPicnic,control,south,Mertensia,29,A,open,6/19/19,7/5/19,25,,,7/12/19,,,14.1,20,50,0.044,,,
AveryPicnic,control,south,Mertensia,29,K,open,6/19/19,7/5/19,28,,,7/12/19,,,14,12,44,0.029,,,
AveryPicnic,control,south,Mertensia,28,I,open,6/21/19,7/5/19,48,,,7/12/19,,,14,33,119,0.084,,,
AveryPicnic,control,south,Mertensia,28,L,open,6/19/19,7/5/19,32,,,7/12/19,,,14.3,32,90,0.069,,,
AveryPicnic,control,south,Mertensia,12,H,open,6/25/19,7/10/19,52,,,7/12/19,,,14.6,32,96,0.073,,,
AveryPicnic,control,south,Mertensia,4,K,open,6/25/19,7/10/19,43,,,7/12/19,,,11,17,41,0.025,,,
AveryPicnic,control,south,Mertensia,3,A,open,6/21/19,7/10/19,55,,,7/12/19,,,19.4,23,81,0.055,,,
AveryPicnic,control,south,Mertensia,30,M,open-hand,6/21/19,7/2/19,21,,,7/12/19,,,7.4,4,10,0.008,,,
AveryPicnic,control,south,Mertensia,29,M,open-hand,6/21/19,7/5/19,24,,,7/12/19,,,15.5,15,39,0.027,,,
