site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,trait,fl.count.sharp,dev.seed.sharp,undev.seed.sharp,weight.sharp,dev.seed.rest,undev.seed,weight.rest,
BellviewBench,control,north,Potentilla,30,A,open,7/26/19,,22,,,,,,,,,,,68,,0.044,
BellviewBench,control,north,Potentilla,26,D,open,8/7/19,,8,,,,,,,,,,,10,,0,
BellviewBench,control,north,Potentilla,27,D,open,7/31/19,,17,,,,,,,,,,,11,,0,
BellviewBench,control,north,Potentilla,17,L,open,,,13,,,,,,,,,,,21,,0,
BellviewBench,control,north,Potentilla,12,B,open,8/7/19,,8,,,,,,,,,,,0,,0,
AveryPicnic,manip,north,Potentilla,1,M,open-hand,7/26/19,,,,,,,,,2,26,,0.006,76,,0.016,
AveryPicnic,manip,north,Potentilla,2,O,open-hand,7/26/19,,,,,,,,,,,,,111,,0.034,
AveryPicnic,manip,north,Potentilla,8,J,open-hand,7/26/19,,,,,,,,,,,,,66,,0.017,
AveryPicnic,manip,north,Potentilla,14,O,open-hand,7/26/19,,,,,,,,,,,,,264,,0.062,
AveryPicnic,manip,north,Potentilla,16,H,open-hand,7/26/19,,,,,,,,,,,,,254,,0.072,
AveryPicnic,manip,north,Potentilla,17,L,open-hand,7/26/19,8/5/19,,,,,,,,1,21,,0.005,116,,0.028,
AveryPicnic,manip,north,Potentilla,24,I,open-hand,7/26/19,,,,,,,,,2,59,,0.007,193,,0.052,
AveryPicnic,manip,north,Potentilla,25,I,open-hand,7/26/19,,,,,,,,,,,,,142,,0.025,
AveryPicnic,manip,north,Potentilla,1,J,open,7/26/19,,,,,,,,,,,,,58,,0.009,
AveryPicnic,manip,north,Potentilla,2,P,open,7/26/19,,,,,,,,,,,,,200,,0.033,
AveryPicnic,manip,north,Potentilla,8,F,open,7/30/19,,,,,,,,,,,,,20,,0.002,
AveryPicnic,manip,north,Potentilla,14,P,open,7/26/19,,,,,,,,,,,,,242,,0.055,
AveryPicnic,manip,north,Potentilla,16,M,open,7/26/19,8/5/19,,,,,,,,,,,,243,,0.061,
AveryPicnic,manip,north,Potentilla,17,J,open,7/26/19,8/5/19,,,,,,,,,,,,138,,0.039,
AveryPicnic,manip,north,Potentilla,24,F,open,7/26/19,,,,,,,,,,,,,51,,0.009,
AveryPicnic,manip,north,Potentilla,25,J,open,7/26/19,8/5/19,,,,,,,,,,,,139,,0.059,
AveryPicnic,control,south,Potentilla,29,E,open-hand,7/26/19,,,,,,,,,,,,,129,,0.06,
AveryPicnic,control,south,Potentilla,26,N,open-hand,7/26/19,,,,,,,,,5,99,,0.021,,,,
AveryPicnic,control,south,Potentilla,10,K,open-hand,7/26/19,,,,,,,,,2,76,,0.012,161,,0.029,
AveryPicnic,control,south,Potentilla,8,G,open-hand,7/26/19,,,,,,,,,2,26,,0.003,90,,0.024,
AveryPicnic,control,south,Potentilla,7,O,open-hand,7/26/19,,,,,,,,,3,72,,0.01,131,,0.053,
AveryPicnic,control,south,Potentilla,7,N,open-hand,7/26/19,,,,,,,,,,,,,74,,0.022,
