site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,height,dev.seed1,undev.seed1,weight1,dev.seed,undev.seed,notes,weight.rest,
WG3C,control,north,Delphinium nutt,16,A,open-hand,7/1/19,,11,,,,,,38.5,,,,316,188,,0.1,
WG3C,control,north,Delphinium nutt,13,C,open-hand,7/1/19,7/22/19,6,,,,,,30.9,18,64,0.005,152,105,,0.031,
WG3C,control,north,Delphinium nutt,8,G,open-hand,7/1/19,7/18/19,3,,,,,,27.2,,,,60,61,,0.009,
WG3C,control,north,Delphinium nutt,4,H,open-hand,7/1/19,7/15/19,6,,,,,,25.4,0,0,0,19,10,,0.011,
WG3C,control,north,Delphinium nutt,30,A,open,7/1/19,7/15/19,2,,,,,,19.5,,,,17,21,,0.003,
WG3C,control,north,Delphinium nutt,27,J,open,7/3/19,7/22/19,4,,,,,,22,4,31,0.003,75,8,,0.028,
WG3C,control,north,Delphinium nutt,24,F,open,7/1/19,7/22/19,10,,,,,,36.5,42,10,0.03,146,25,,0.129,
WG3C,control,north,Delphinium nutt,22,P,open,7/3/19,7/22/19,3,,,,,,17.8,0,0,0,30,15,,0.009,
WG3C,control,north,Delphinium nutt,16,,open,7/1/19,7/22/19,6,,,,,,38,23,20,0.012,111,50,,0.045,J
WG3C,control,north,Delphinium nutt,13,M,open,7/3/19,7/22/19,5,,,,,,30.8,6,26,0.001,112,41,,0.069,
WG3C,control,north,Delphinium nutt,8,K,open,7/1/19,7/22/19,4,,,,,,25.5,20,14,0.007,54,7,,0.034,L?
WG3C,control,north,Delphinium nutt,4,C,open,7/3/19,7/11/19,6,,,,,,24.5,23,20,0.012,64,22,,0.026,4B
Pfieler,manip,north,Delphinium nutt,18,N,open,,7/22/19,7,,,,,,22,49,2,0.043,24,44,,0.036,
Pfieler,manip,north,Delphinium nutt,23,J,open,7/1/19,,,,,,,,,,,,,,eaten,,
Pfieler,manip,north,Delphinium nutt,18,M,open,7/1/19,7/22/19,4,,,,,,20.4,25,12,0.033,94,24,,0.077,
Pfieler,manip,north,Delphinium nutt,16,N,open,7/1/19,7/22/19,5,,,,,,25.5,43,3,0.057,39,2,,0.038,
Pfieler,manip,north,Delphinium nutt,15,P,open,7/3/19,7/22/19,4,,,,,,20.2,20,27,0.017,26,45,,0.015,
Pfieler,manip,north,Delphinium nutt,14,K,open,7/1/19,7/22/19,7,,,,,,22,48,10,0.037,128,30,,0.116,
Pfieler,manip,north,Delphinium nutt,8,C,open,7/3/19,7/22/19,5,,,,,,35,25,14,0.005,62,24,,0.031,
Pfieler,manip,north,Delphinium nutt,5,J,open,7/3/19,7/22/19,6,,,,,,33.2,20,2,0.012,,,,,
Pfieler,manip,north,Delphinium nutt,24,H,open-hand,7/3/19,,,,,,,,,,,,,,eaten,,
Pfieler,manip,north,Delphinium nutt,23,G,open-hand,7/3/19,,5,,,,,,31,,,,9,4,,0.004,
Pfieler,manip,north,Delphinium nutt,18,M,open-hand,7/3/19,7/22/19,6,,,,,,18.3,34,0,0.03,13,3,,0.012,
Pfieler,manip,north,Delphinium nutt,16,D,open-hand,7/3/19,,6,,,,,,30.2,12,6,0.004,72,26,,0.033,
Pfieler,manip,north,Delphinium nutt,15,C,open-hand,7/3/19,7/18/19,5,7/18/19,,,,,18.5,29,4,0.026,35,28,,0.028,
Pfieler,manip,north,Delphinium nutt,13,O,open-hand,7/3/19,7/18/19,2,,,,,,18.7,,,,,,,,
Pfieler,manip,north,Delphinium nutt,8,O,open-hand,7/1/19,7/22/19,8,,,,,,34.9,,,,37,17,,0.036,
Pfieler,manip,north,Delphinium nutt,5,O,open-hand,7/3/19,7/22/19,8,,,,,,33.5,27,8,0.025,68,19,,0.031,
Pfieler,control,south,Delphinium nutt,2,J,open,7/3/19,7/25/19,2,,,,,,24,,,,10,17,,0,
Pfieler,control,south,Delphinium nutt,2,D,open,7/18/19,7/25/19,3,,,,,,25.2,,,,31,36,,0.006,
Pfieler,control,south,Delphinium nutt,4,H,open,7/18/19,7/25/19,4,,,,,,32.5,,,,41,12,,0.011,
Pfieler,control,south,Delphinium nutt,3,B,open,7/11/19,7/29/19,6,,,,,,22.2,44,20,0.013,26,6,,0.008,
Pfieler,control,south,Delphinium nutt,4,A,open,7/18/19,7/29/19,4,,,,,,29.5,,,,29,18,0.005,0.01,
Pfieler,control,south,Delphinium nutt,2,B,open,7/18/19,7/25/19,3,,,,,,23.5,,,,41,21,2+,0.009,
Pfieler,control,south,Delphinium nutt,4,D,open,7/18/19,7/29/19,5,,,,,,26.4,,,,32,27,4+,0,
Pfieler,control,south,Delphinium nutt,1,B,open,7/18/19,7/25/19,2,,,,,,18.5,,,,15,18,1+,0.057,
Pfieler,control,south,Delphinium nutt,3,A,open-hand,7/11/19,7/25/19,3,,,,,,27.7,24,32,0.016,97,34,3+,0.032,
Pfieler,control,south,Delphinium nutt,2,D,open-hand,7/11/19,7/25/19,5,,,,,,23.9,,,,40,8,2+,0.016,
Pfieler,control,south,Delphinium nutt,11,A,open-hand,7/11/19,7/25/19,5,,,,,,19.5,,,,28,9,12+,0.015,
